Event ID,Event time,User name,Event name,Resource type,Resources,AWS access key,AWS region,Error code,Source IP address
8e617d04-e6a6-4b70-a156-b3ba7824b239,"2020-06-10, 11:30:26 PM",root,ListUsers,,,,us-east-1,,99.245.179.215
0e7dd12d-3ff9-4120-bd25-11abde80da89,"2020-06-10, 11:30:19 PM",root,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/job-function/Billing""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,99.245.179.215
77c3468a-9b2e-4eb6-b2dd-26d2d73618fd,"2020-06-10, 11:30:19 PM",root,ListGroups,,,,us-east-1,,99.245.179.215
ac981e20-9787-409b-8332-7739b31b73fe,"2020-06-10, 11:30:19 PM",root,CreateGroup,IAM Group,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPAZDYK4PTDMD62BBCYF""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::626551192774:group/Reviewers""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,99.245.179.215
c695e8e2-e127-4c5a-bbb1-d87e8e97491b,"2020-06-10, 11:30:19 PM",root,ListGroups,,,,us-east-1,,99.245.179.215
665670b1-ebbc-4ae5-826e-0238672a5bad,"2020-06-10, 11:30:11 PM",root,ListPolicies,,,,us-east-1,,99.245.179.215
71fbcd2d-e8a0-45eb-95e0-ee6267765767,"2020-06-10, 11:30:11 PM",root,ListPolicies,,,,us-east-1,,99.245.179.215
308046a4-f22b-4101-b51e-ac2401fa7b3b,"2020-06-10, 11:29:56 PM",root,CreateGroup,IAM Group,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::626551192774:group/CloudTrailAdmins""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPAZDYK4PTDFRGP67KCI""}]",,us-east-1,,99.245.179.215
49b62ce9-b836-4c90-b8de-8a2b283896b6,"2020-06-10, 11:29:56 PM",root,ListGroups,,,,us-east-1,,99.245.179.215
59cd06eb-c046-49ca-813f-44c25e44a3a2,"2020-06-10, 11:29:56 PM",root,ListGroups,,,,us-east-1,,99.245.179.215
affc7cc5-60dc-4260-8717-b3b3d4d77cc4,"2020-06-10, 11:29:56 PM",root,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrailReadOnlyAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,99.245.179.215
d916ec46-2b9b-4d34-8c2c-c0865befec15,"2020-06-10, 11:29:56 PM",root,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrailFullAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,99.245.179.215
1e9fcec6-f280-491d-98a5-40d314bd554c,"2020-06-10, 11:29:31 PM",root,ListPolicies,,,,us-east-1,,99.245.179.215
facecaa2-2e4a-4e8e-8b15-d8a3639d6be3,"2020-06-10, 11:29:31 PM",root,ListPolicies,,,,us-east-1,,99.245.179.215
938ab7b2-fc8a-4206-8ec5-c9651ab64910,"2020-06-10, 11:29:17 PM",root,ListGroups,,,,us-east-1,,99.245.179.215
2a25dffd-a4e5-4577-abdb-e56461f6f2c2,"2020-06-10, 11:29:16 PM",root,ListGroups,,,,us-east-1,,99.245.179.215
713a495e-c3fd-4999-8831-8120c858f050,"2020-06-10, 11:27:36 PM",root,GetAccountPasswordPolicy,,,,us-east-1,,99.245.179.215
fb01f81b-d190-424b-b809-78415c7b6da1,"2020-06-10, 11:27:36 PM",root,UpdateAccountPasswordPolicy,,,,us-east-1,,99.245.179.215
4150bed7-0ba7-45f9-8531-351d2aadcf66,"2020-06-10, 11:26:51 PM",root,GetAccountPasswordPolicy,,,,us-east-1,NoSuchEntityException,99.245.179.215
450e4450-5a42-49d6-9945-14072dac76d5,"2020-06-10, 11:26:51 PM",root,GetAccountPasswordPolicy,,,,us-east-1,NoSuchEntityException,99.245.179.215
cfeab4b9-1bda-42ba-8c2e-1b6caf9d384e,"2020-06-10, 11:26:51 PM",root,ListAccessKeys,,,,us-east-1,,99.245.179.215
